run_id,threat_type,aggressor_site_id,defender_site_id,initial_threat_x,initial_threat_y,initial_threat_z,initial_threat_vx,initial_threat_vy,initial_threat_vz,radar_3s_x,radar_3s_y,radar_3s_z,radar_3s_vx,radar_3s_vy,radar_3s_vz,outcome,miss_distance_m,time_to_intercept_s,intercept_x,intercept_y,intercept_z
246,high_ballistic,3,3,45000.0,45000.0,0.0,3015.3581101674813,-5.32773433263525,1494.5666648201864,53568.29002488652,44984.86097794346,4689.574716274425,2856.096674962225,-5.046340685443978,1548.4765720914716,HIT,0.0074290301117699775,173.88392955531742,541629.3122907751,44122.522482268905,126066.88371572123
247,quasi_ballistic,2,2,10000.0,5000.0,0.0,1485.067495295173,-126.77737314819028,1019.4355600883224,14455.202485885566,4619.6678805554075,3068.1616802649696,1485.067495295173,-126.77737314819028,1026.0055600883238,HIT,0.01377725450164207,220.07963572503547,336558.18654018635,709.1636605534886,39696.268473269796
248,supersonic_cruise,1,1,30000.0,-35000.0,0.0,1056.262814645745,-47.60355629401545,120.0,33168.78844393723,-35142.81066888216,259.7611575195571,1056.262814645745,-47.60355629401545,64.09553699217709,HIT,0.03578093280022994,256.3041488230477,300724.5400326288,-47200.98900635683,4085.20966677884
249,high_ballistic,8,2,70000.0,60000.0,0.0,2836.29678954267,-300.8278491378449,1509.9083658844809,78312.60416749894,59118.33527377574,4592.5408663439775,2770.8680558330866,-293.8882420747771,1516.1319554479892,HIT,0.017030463785663228,170.05318409112735,541194.9345435589,10023.370666528866,120984.5310118777
250,quasi_ballistic,6,1,65000.0,-15000.0,0.0,1672.1418323154733,-85.26474643411586,902.032390094395,70016.42549694661,-15255.79423930234,2715.9521702831876,1672.1418323154733,-85.26474643411586,908.6023900943966,MISS,43.883184448882496,213.29120960899144,410446.79746723064,-89821.38803823065,30090.564855315366
251,supersonic_cruise,0,1,15000.0,-75000.0,0.0,1041.7979486661195,160.01289762976893,120.0,18125.393845998406,-74519.96130711108,259.7611575195571,1041.7979486661195,160.01289762976893,64.09553699217709,HIT,0.0035119244680061144,272.0299259399827,298400.2186533208,-31471.703308210148,4025.1683372044517
252,high_ballistic,7,2,90000.0,20000.0,0.0,3242.410839290651,-50.920541564783306,1373.2036082288562,98311.09469084447,19869.478155721154,4777.4114694519785,2770.364896948105,-43.50728142628725,1577.7554898173228,HIT,0.0020864685378806707,169.27685707038495,558958.6626202341,12635.22412216776,131508.23348799668
253,quasi_ballistic,2,2,10000.0,5000.0,0.0,1581.735077169058,72.8857214083274,915.095045983861,14745.205231507207,5218.657164224987,2755.1401379515855,1581.735077169058,72.8857214083274,921.6650459838626,HIT,0.030612401113285188,230.36198692359076,374086.23533892457,10452.467921570133,40800.99237023824
254,supersonic_cruise,8,3,70000.0,60000.0,0.0,1172.2052244149395,-123.84527754109165,120.0,73516.61567324481,59628.46416737666,259.7611575195571,1172.2052244149395,-123.84527754109165,64.09553699217709,HIT,0.0010562338077434058,236.21457715783941,346891.96146454127,30745.94013360826,2668.4462115175074
255,high_ballistic,1,1,30000.0,-35000.0,0.0,2747.750053707102,-32.70858112236327,1583.0840476227745,38438.03050980561,-35100.44436358774,4595.477177996511,2812.676836601842,-33.48145452926633,1517.1107259988337,HIT,0.01971509487297778,181.75043120578388,541205.2262392781,-41085.26823556911,119056.51314040643
256,quasi_ballistic,4,3,25000.0,85000.0,0.0,1704.3307313694108,-236.84646650771236,1071.2121129646523,30112.99219410823,84289.46060047689,3223.4913388939594,1704.3307313694108,-236.84646650771236,1077.7821129646538,HIT,0.020455980900150363,229.979084798973,399810.68526905426,-29737.155356451694,34167.32139346551
257,supersonic_cruise,2,2,10000.0,5000.0,0.0,986.4132194265586,37.922742031129346,120.0,12959.23965827973,5113.768226093398,259.7611575195571,986.4132194265586,37.922742031129346,64.09553699217709,HIT,0.010060089706564433,248.99159356681807,255608.59909269045,14442.443976010589,2477.464333338792
258,high_ballistic,4,2,25000.0,85000.0,0.0,2817.7283808129164,-406.31531973859757,1617.6962227694148,34143.46605809824,83681.51580535108,4442.562422022564,3047.8220193660986,-439.49473154960447,1466.1391406741845,HIT,0.02013899610099494,162.7478102830589,521026.3581408337,13473.197517325232,113482.62550865054
259,quasi_ballistic,4,4,25000.0,85000.0,0.0,1401.9149661614579,-112.38213887082931,905.1654666925019,29205.74489848448,84662.85358338733,2725.3514000775076,1401.9149661614579,-112.38213887082931,911.7354666925035,HIT,0.04558998709585362,222.00595730147862,336339.33269986353,71204.21179232482,35601.36623377261
260,supersonic_cruise,3,3,45000.0,45000.0,0.0,1008.3663566741702,-31.094746455001154,120.0,48025.0990700227,44906.715760634834,259.7611575195571,1008.3663566741702,-31.094746455001104,64.09553699217709,HIT,0.0025951439407706743,259.7295764343541,306902.5666208981,36923.77467271489,2357.3493720433025
261,high_ballistic,1,2,30000.0,-35000.0,0.0,3139.6792006500605,353.08783286255317,1472.54341279585,39169.614670166775,-33968.786565390765,4493.649315639146,3056.5382233889445,343.7378115364495,1483.1681052130452,HIT,0.02065919990798907,167.55810311708368,542147.7453843148,22596.051928727356,115736.68273246226
262,quasi_ballistic,2,2,10000.0,5000.0,0.0,1692.6905692052628,-140.1185335503353,1023.5397248216427,15078.071707615782,4579.644399348981,3080.4741744649305,1692.6905692052628,-140.1185335503353,1030.1097248216442,HIT,0.08900465870115017,213.15579180911607,359310.8233915124,-69735.29861910905,40163.60926026634
